	conc. [mol/l]	±	SFT [mN/m]	±	B conc. [mol/l]	±	T1 [°C]	±	T2 [°C]	±	T(set) [°C]	±	Add Vol [µl]	Add Vol B [µl]
2	3.4853E-05	NA	61.119	0.029	NA	NA	25.12	0.006	NA	NA	NA	NA	49	0
3	4.5221E-05	NA	60.616	0.023	NA	NA	25.14	0	NA	NA	NA	NA	14.6	0
4	5.8704E-05	NA	60.365	0.028	NA	NA	25.137	0.003	NA	NA	NA	NA	19	0
5	7.6143E-05	NA	60.159	0.024	NA	NA	25.123	0.005	NA	NA	NA	NA	24.6	0
6	9.8796E-05	NA	59.763	0.015	NA	NA	25.136	0.007	NA	NA	NA	NA	32	0
7	1.2812E-04	NA	59.688	0.025	NA	NA	25.143	0.008	NA	NA	NA	NA	41.5	0
8	1.662E-04	NA	59.32	0.025	NA	NA	25.142	0.006	NA	NA	NA	NA	54	0
9	2.1561E-04	NA	58.661	0.025	NA	NA	25.141	0.005	NA	NA	NA	NA	70.3	0
10	2.7969E-04	NA	57.915	0.03	NA	NA	25.12	0.006	NA	NA	NA	NA	91.5	0
11	3.6288E-04	NA	54.966	0.024	NA	NA	24.995	0.007	NA	NA	NA	NA	119.4	0
12	4.7073E-04	NA	50.23	0.013	NA	NA	25.085	0.006	NA	NA	NA	NA	155.8	0
13	6.1067E-04	NA	45.394	0.016	NA	NA	25.088	0.007	NA	NA	NA	NA	203.9	0
14	7.9225E-04	NA	39.184	0.029	NA	NA	25.124	0.005	NA	NA	NA	NA	267.5	0
15	0.00103	NA	35.359	0.027	NA	NA	25.115	0.005	NA	NA	NA	NA	352	0
16	0.00133	NA	32.62	0.028	NA	NA	25.014	0.011	NA	NA	NA	NA	465.5	0
17	0.00173	NA	30.669	0.029	NA	NA	25.114	0.004	NA	NA	NA	NA	618.9	0
18	0.00224	NA	28.948	0.029	NA	NA	25.097	0.003	NA	NA	NA	NA	829.7	0
19	0.00291	NA	28.291	0.029	NA	NA	25.1	0.003	NA	NA	NA	NA	1124	0
20	0.00378	NA	27.874	0.027	NA	NA	25.103	0.007	NA	NA	NA	NA	1544.5	0
21	0.0049	NA	27.535	0.022	NA	NA	25.1	0.007	NA	NA	NA	NA	2164.8	0
22	0.00636	NA	27.392	0.026	NA	NA	25.085	0.006	NA	NA	NA	NA	3119.6	0
23	0.00824	NA	27.544	0.018	NA	NA	25.093	0.004	NA	NA	NA	NA	4680.2	0
24	0.0107	NA	28.304	0.026	NA	NA	25.002	0.014	NA	NA	NA	NA	7463.9	0
25	0.01388	NA	36.511	0.028	NA	NA	25.068	0.004	NA	NA	NA	NA	13144.6	0
26	0.018	NA	35.173	0.009	NA	NA	25.143	0.009	NA	NA	NA	NA	27767.6	0
